article,label
hay 223 empresas de plantaciones forestales comerciales con funciones en colombia de acuerdo con la federacion nacional de industriales de la madera  fedemaderas  este sector puede generar bieconomia superior a us 100 millones la economia forestal es una de las mas prometedoras para la agroindustria en colombia  e l bosque natural colombiano tiene una cobertura mayor a 65 millones de hectareas  bajo ejemplares sostenibles que llegarian a generar una bioeconomia superior a us 100 millones  segun fedemaderas  en colombia existen 223 empresas de plantaciones forestales comerciales  que tienen en la mira crear 400 000 empleos formales para 2026  pero los retos son muchos  sobre todo en materia de cuidado ambiental y de un mercado que tiene una gran proporcion de madera de origen ilegal  grafico lr a mayor madera legal y sostenible disponible en el mercado  mayores oportunidades para el desarrollo de esta bioeconomia  menor presion sobre practicas ilegales  sobre el bosque natural  menor deforestacion de los mismos  comento juan miguel vasquez  director general del gremio  la federacion explico que el sector forestal tiene potencial para crear de manera gradual aproximadamente 2 5 millones de empleos formales directos e indirectos para campesinos  comunidades afro e indigenas entre 2023 y 2052  las proyecciones de la corporacion muestran que  para 2026  se generarian 400 000  todos ellos de fuente agroindustrial sostenible  los contrastes ricardo perilla director de fundacion bosques verdes el empresariado hoy en dia debe abrir muy bien sus ojos para evitar estas actividades de greenwashing  que son acciones que no pasan de la foto a algo mas alla  lo anterior permitiria el alcance de mas de 3 000 familias vinculadas con proyectos liderados bajo el modelo de manejo forestal sostenible comunitario  mfsc  alineado con el desarrollo de la bioeconomia planteado por el pnd 2022   2026  ricardo perilla  director de fundacion bosques verdes  explico que tenemos un reto muy importante en el que todos los actores  la sociedad civil  el gobierno  las empresas   los empresarios estan comprometidos a 2030 y es avanzar en el cumplimiento de los objetivos de sostenibilidad  que se vuelven una carrera contra el tiempo ya que cada ano que pasa se siente o se percibe de parte del empresariado que la meta puede estar un poco mas lejos  perilla informo que se han creado normativas especiales como la de la ley 2173 de 2021  que invitaba a las entidades  empresas  fundaciones  etc    a ser mas sensibles en el compromiso de plantar arboles  por lo que se puso la meta de sembrar 180 millones  el director de fundacion bosques verdes dijo que  con la colaboracion de las entidades  a 2022 se tenia una estadistica donde se habia logrado ya tener un numero aproximado de 130 millones de arboles plantados y donde las comunidades participan  en la que el empresariado se ha hecho presente de una manera muy especial  el empresariado hoy en dia debe abrir muy bien sus ojos para evitar estas actividades de greenwashing  que no son nada diferente que pensar que se esta actuando en beneficio o en pro de la conservacion del medio ambiente a traves de una cantidad de acciones de proteccion  pero que no pasan de ser el momento de la foto  que no pasan de ser algo que no trasciende a nivel empresarial  recalco  pero la economia forestal no cuenta con cifras positivas para las actividades de silvicultura y extraccion de madera  transformacion de madera  pulpa  papel y carton  y fabricacion de muebl es  las cuales cayeron durante el primer trimestre del ano 12 8   3  2  y 8 3   respectivamente  cabe recordar que  segun fedemaderas  las plantaciones forestales comerciales  que son las zonas o establecimientos donde se da un manejo de especies forestales en terrenos que han perdido su vegetacion forestal natural  ayudan a proteger los bosques naturales y favorecen a la conservacion de la biodiversidad  con el fin de abastecer de materia prima a la industria ,Agriculture
hombre murio en ataque sicarial y nina de 11 anos herida barrancabermeja por  lo que pasa en bucaramanga y colombia loquepasaencolombia com es un medio de comunicacion digital de bucaramanga  colombia  fundado el 21 de septiembre de 2014  podras encontrar las principales noticias de colombia  el mundo  deportes  economia  politica  tecnologia  cultura  estilo de vida  tendencias y mucho mas  visitar sitio un nuevo hecho de violencia sacudio a la comuna 5 de barrancabermeja la noche del viernes 18 de octubre  cuando un atentado sicarial en el barrio las americas dejo como saldo a un joven muerto y una nina de 11 anos herida  sigue a pulzo en discover  vea tambien  hombre habria sido asesinado por sicarios dentro de su casa y su hijo fue quien lo encontro  segun la informacion que se ha logrado conocer hasta el momento  el ataque ocurrio cuando dos sicarios llegaron al lugar a bordo de una motocicleta y abrieron fuego en repetidas ocasiones en contra del joven  la menor al parecer fue victima de una bala perdida segun los primeros informes  el joven  cuya identidad aun no ha sido revelada  fue trasladado de urgencia por paramedicos en una ambulancia de bomberos  sin embargo  llego al centro asistencial sin signos vitales  convirtiendose en la victima numero 124 de homicidio en lo que va del ano en barrancabermeja  durante el tiroteo  una menor de 11 anos que transitaba por el lugar fue alcanzada por una bala en la pierna  lo que genero momentos de panico entre los residentes de la zona  la nina fue rapidamente atendida y trasladada a un hospital  donde se espera su pronta recuperacion  la coronel adriana paz  comandante de la policia en barrancabermeja  se pronuncio tras el lamentable suceso  hemos activado de manera inmediata un plan candado en coordinacion con las autoridades competentes para dar con el paradero de los responsables  no descansaremos hasta que se haga justicia  aseguro la oficial  lee tambien asimismo  la coronel paz hizo un llamado a la ciudadania para que los barranquenos cooperen con la policia nacional y demas autoridades a traves del plan de recompensas  destacando la importancia de la informacion ciudadana para esclarecer este caso y combatir la creciente violencia que afecta a los ninos y adolescentes en la region   lea tambien  violento ataque a una patrulla de la policia en el huila dejo a un patrullero herido  las autoridades continuan investigando los moviles de este atentado  mientras la comunidad se encuentra conmocionada por este nuevo hecho violento que vuelve a tenir de sangre las calles de barrancabermeja    pulzo com se escribe con z homicidios reportados en colombia el siguiente mapa  desarrollado por esri colombia  muestra informacion de homicidios reportados en colombia por el instituto nacional de medicina legal y ciencias forenses  lee todas las noticias de nacion hoy aqui ,Security
colombia tendria presencia en la inauguracion de la copa america todo esta listo para el inicio de la copa america de estados unidos 2024 y la ilusion de los colombianos esta mas grande que nunca debido al gran momento que vive el seleccionado cafetero siendo dirigida por nestor lorenzo  una seleccion que tendra incluso un representante en la inauguracion entre argentina y canada  el actual campeon del mundo enfrentara a canada en el debut de la copa america y para la inauguracion la organizacion tendria una gran presentacion preparada  la cual estaria a cargo del reguetonero antioqueno feid  despues de que la copa america oficialmente publicara una imagen tendenciosa en sus redes sociales  diferentes medios del mundo han rumoreado con que ferxxo seria el encargado de la inauguracion oficial  pues en dicha fotografia se puede ver un balon junto a unas gafas que son comunes en el colombiano  de esta manera  colombia tendria representante desde el inicio del campeonato con el que suenan millones de compatriotas gracias al invicto de 23 partidos sin perder  inicio de la copa america argentina  con su estrella lionel messi coqueteando con el retiro  asume en estados unidos una ardua defensa de la copa america  un titulo que obsesiona al alicaido brasil y anima a uruguay y colombia  ambos en alza y en proceso de recambio generacional  relacionado la travesia de la seleccion colombia en su primera copa america la edicion 2024 del mas antiguo torneo de selecciones del mundo  que se jugara del 20 de junio al 14 de julio  sera el escenario de bienvenidas jovenes estelares y de despedidas a ilustres habitantes del olimpo del futbol  la herencia sudamericana parece estar al cuidado  futbolistas de elite como messi  angel di maria  luis suarez  casemiro o james  que marcaron epoca  comparten vestuario con jovenes en franco ascenso en algunos casos casi 20 anos menores que ellos y en equipos europeos de alto vuelo  los tres del liverpool  el colombiano luis diaz  el uruugayo darwin nunez y el argentino alexis macallister  asi como los brasilenos vinicius junior y rodrygo  recientes campeones de la champions league con el real madrid  y mas jovenes aun como el tambien argentino alejandro garnacho  manchester united   de 19 anos  y el brasileno endrick  de 17  asoman como los depositarios del legado  algunos ya con recorridos en la cuspide ,Communications
promigas le apostara a la construccion de grandes parques eolicos y solares en colombia y el exterior la url ha sido copiada en el portapapeles  promigas esta celebrando 50 anos de operacion en colombia  cinco decadas en las que ha sido pionero en la masificacion del gas natural y le aposto a las energias renovables no convencionales para diversificar su portafolio  para seguir creciendo  el presidente de promigas  juan manuel rojas  asegura que la compania esta buscando oportunidades para desarrollar grandes proyectos de energia solar y eolica  no solo en colombia sino en el exterior  ademas  se refiere a los problemas de abastecimiento de gas natural que podria enfrentar el pais en el 2025 y las alternativas que se deben tener en cuenta para seguir garantizandoles este servicio a los colombianos  cuales son los hitos de promigas al cumplir 50 anos operando en colombia  nuestra capacidad de innovacion es increible y quiero resaltarla destacaria siete hitos  fuimos pioneros en el transporte y en la masificacion del gas natural  hoy en dia tenemos 4 5 millones de hogares conectados a este servicio en colombia  otros hitos son la incorporacion de gas natural vehicular con gas natural comprimido y la operacion de brilla  que ofrece financiacion no bancaria  principalmente  a hogares de estratos uno  dos y tres  mas de 5 2 millones hogares se han beneficiado con creditos que van desde los 400 000 hasta los dos millones de pesos  y que se pagan entre 24 y 60 meses  tambien destaco la internacionalizacion de promigas y la entrada a peru  la inauguracion de la planta de regasificacion de cartagena en el 2016 y el ultimo hito tiene que ver con nuestras soluciones energeticas y la planta de hidrogeno verde en cartagena  nuestra capacidad de innovacion es increible y quiero resaltarla porque eso esta en el adn de promigas y pronto conoceran los temas que estamos adelantando en biometano  foto ecopetrol por que le apostaron a la energia solar  en el 2022 incursionamos en el negocio de energia solar y en muy corto tiempo pasamos de 19 a casi 110 megavatios instalados  nos ha ido muy bien conectando pequenos clientes industriales y grandes superficies comerciales  decidimos incursionar en este marcado porque le estamos apostando a convertirnos no solo en una compania de gas natural  sino en una empresa de energia  a la empresa le interesa construir grandes proyectos solares o eolicos  estamos estudiando la posibilidad de meternos en grandes proyectos solares y eolicos en el futuro  en el muy corto plazo  estamos mirando diferentes alternativas en distintos lugares  no solamente en colombia  puede ser en peru o en nuevos mercados  esto puede ocurrir en cualquier momento cuando encontremos el proyecto que cumple con los requisitos que queremos  pronto van a escuchar noticias sobre este tema  vamos a seguir apostandole a las soluciones en energia solar en auto y cogeneracion  y tambien estamos haciendo investigacion y desarrollo en temas de biometano  foto erco energy que medidas se necesitan para seguir creciendo en colombia  la energia termica limpia es la que se hace con gas natural  no con carbon colombia necesita hacer una transicion organizada que no ponga en tela de juicio su seguridad y autosuficiencia energetica  el pais se debe alimentar de distintas fuentes y darle espacio  no solo a las energias renovables no convencionales  sino tambien a la energia termica para que de confiabilidad y seguridad en periodos de sequia  la energia termica limpia es la que se hace con gas natural  no con carbon ni combustible liquidos  entonces  como pais necesitamos asegurar gas natural a largo plazo y  por lo tanto  debemos desarrollar los recursos internos  ojala uchuva se pueda desarrollar  tambien necesitamos desarrollar el potencial del valle inferior del magdalena y de la cuenca sinu san jacinto  ademas de importar gas natural por spec  venezuela o el pacifico  al consumidor final le conviene tener competencia entre moleculas  independientemente de donde vengan  y tener mayor disponibilidad y seguridad energetica  el presidente gustavo petro dijo que se debe disminuir el consumo de gas natural esta propuesta es viable  el gas natural tambien es fundamental para la generacion de energia eso no es viable si tenemos en cuenta los beneficios y los usos del gas natural hoy en dia  sin gas natural no podriamos desarrollar urea y otros fertilizantes que son fundamentales para alimentar el planeta  otro uso fundamental tiene que ver con la petroquimica y la produccion de combustibles para automoviles  el gas natural tambien es fundamental para la generacion de energia  si las termicas hoy no tuviesen gas natural  el pais estaria apagado  es dificil que ocurra lo que esta pidiendo el presidente petro y eso va en contravia de lo que esta ocurriendo en el mundo  el consumo de gas natural va a crecer y sustituira al carbon y los combustibles liquidos  juan manuel rojas  presidente de promigas  foto sergio acero   el tiempo hay riesgo en el suministro de gas natural por el mantenimiento de spec en octubre  el mantenimiento es necesario y critico para mantener a spec funcionando spec viene operando a full capacidad y para garantizar la disponibilidad de la terminal de regasificacion y brindar confiabilidad energetica a toda la infraestructura del pais  se requiere realizar el mantenimiento programado  este mantenimiento lo anunciamos en mayo y lo vamos a hacer en octubre porque es un mes de lluvias  ademas  los cuatro dias  del 24 al 28 de octubre  incluyen un fin de semana porque hay menor demanda de energia  el mantenimiento es necesario y critico para mantener a spec  planta de regasificacion de cartagena  funcionando y dando confiabilidad al sistema electrico  las termicas estan advertidas y tienen otras fuentes de suministro  si no se hace este mantenimiento  colombia puede tener problemas en el futuro  ecopetrol puede usar a spec para importar gas natural desde noviembre  una vez se ponga a disposicion del mercado  a traves de un proceso de open season  esa capacidad adicional de gas que va a tener spec  podran participar los distintos agentes de la demanda y ecopetrol puede participar sin ningun problema  en abril anunciamos que spec tiene 50 millones de pies cubicos dia  mpcd  adicionales a los 400 mpcd que tiene para el consumo de las termicas  el proximo ano vamos a elevar esa capacidad a 475 mpcd y en el 2027 seran 533 mpcd para un consumo diferente al de las termoelectricas  para este proyecto estamos hablando de inversiones que giran alrededor de los 60 y 70 millones de dolares  planta de regasificacion de cartagena  foto calamari colombia se va a quedar sin gas natural en el 2025  a traves de naturgas hemos sido muy vocales y claros en establecer que tenemos un problema importante en el abastecimiento de gas natural y que la demanda del proximo ano tendra que ser atendida con gas importado  no solo la demanda termica  sino tambien la demanda esencial  hogares  comercios y vehiculos   es viable insistir en traer gas natural desde venezuela  actualmente no es viable importar gas natural desde venezuela porque estariamos beneficiando a un pais con un dictador y porque la infraestructura tampoco esta lista para poder traer gas desde este pais  por eso estamos ampliando spec  hacia adelante  colombia tiene que dar una discusion muy importante porque se necesita la planta de regasificacion del pacifico y ese proyecto se tiene que poder hacer para darle confiabilidad y seguridad en el suministro al centro y sur del pais ,"Electricity, Gas and Water"
claro   wom y tigo   movistar   por licitacion 5g en colombia   indicaron cuando comienzan esas redes luego de que se definio la licitacion 5g en colombia entre claro  wom  tigo movistar y telecall  se empezaron a conocer detalles sobre como se prestara ese servicio de comunicaciones  sigue a pulzo en discover el resultado de la subasta hecha por medio de puja entre las mencionadas empresas permitio que tres de ellas se pronunciaran sobre cuando arrancaran a funcionar a nivel nacional  cuando comienzan redes 5g en colombia con claro  wom y tigo movistar  claro colombia informo en un comunicado que el proximo ano sus clientes podran disfrutar de internet movil 5g  tecnologia que busca mejorar la velocidad y reducir la latencia  lo que se traducira en un acceso instantaneo a servicios y aplicaciones  wom explico a traves de un documento similar que realizara un esfuerzo importante de despliegue de red para implementar la tecnologia 5g en el pais en 2024  tigo y movistar  en texto en conjunto  senalaron que la licencia para operar en esta banda fue entregada por los proximos 20 anos y la proyeccion es que en 2024 los colombianos ya puedan acceder a los servicios 5g  ambas empresas indicaron que  a pesar de la union que tuvieron para esta licitacion  se mantendran como agentes de mercado independiente en colombia  lee tambien que dijeron claro  wom y tigo movistar sobre redes 5g en colombia  esas mismas companias de telecomunicaciones se pronunciaron acerca de los resultados de la licitacion que se llevo a cabo a nivel nacional  carlos zenteno  presidente de claro colombia  la llegada del 5g representa una revolucion tecnologica que impulsara el desarrollo economico y social de colombia  la alta velocidad y capacidad masiva de conexion que ofrece la quinta generacion abrira nuevas oportunidades para grandes empresas  pymes  emprendedores  ciudadanos y el propio estado  en materia de conectividad movil y fija  ramiro lafarga  ceo de wom colombia  vemos de forma muy positiva lo logrado en esta subasta  conseguimos resultados significativos que seguiran aportando para consolidar nuestro modelo de negocio en colombia  ampliar la capacidad a 5g nos permitira mantener el ritmo de crecimiento para contribuir con la conectividad del pais y aportar para cerrar la brecha digital  marcelo cataldo  presidente de tigo  5g cambiara los paradigmas en cuanto a conectividad  tenemos una vision a largo plazo y esta inversion lo vuelve a mostrar  vamos a trabajar fuerte durante los proximos anos para llevar esta tecnologia a una gran parte del territorio nacional  nuestra vision es que el pais tenga una conectividad incluyente donde el objetivo es cerrar la brecha digital con la integracion de todas nuestras redes para conectar a mas colombianos  fabian hernandez  presidente de telefonica movistar  en movistar estamos seguros de que 5g transformara positivamente nuestras vidas y la actividad de las empresas  esta tecnologia no solo representa un aumento de la capacidad de red para que los usuarios disfruten de mayor rapidez  incluso en lugares de alta congestion  sino una oportunidad para que los negocios puedan desarrollar soluciones que beneficien su productividad y los acerquen a la economia digital    pulzo com se escribe con z lee todas las noticias de economia hoy aqui ,Communications
colombiana vende lechona en estados unidos y su negocio es todo un exito con una pasion culinaria incomparable  ana maria herrera ha logrado establecerse exitosamente en el sur de la florida  en estados unidos  deleitando los paladares mas exigentes con su oferta gastronomica  sigue a pulzo en discover  lea tambien  terpel trabaja para exaltar la labor de los emprendedores en colombia  sabor colombia us es un emprendimiento posicionado como un restaurante virtual y el resultado del arduo trabajo y la determinacion de ana maria  su historia es una conmovedora narrativa de amor y de familia que comenzo en colombia y florecio en estados unidos  ver esta publicacion en instagram una publicacion compartida por lechona truck  tamales y lechona tolimense   saborcolombiaus  ana maria  graduada como ingeniera de sistemas  y su esposo  como contador  tomaron la decision valiente de buscar una vida mejor para su familia  lo que los llevo a miami despues de un largo y desafiante proceso migratorio  aunque ana maria habia iniciado una prometedora carrera en la produccion televisiva en colombia  su amor por la cocina y el deseo de mantener viva la esencia de su tierra natal la condujeron a seguir su verdadera pasion en miami y lo que comenzo como un sueno modesto ha evolucionado hasta convertirse en una sensacion culinaria en el sur de la florida  actualmente  ana maria dirige no solo sabor colombia us  sino tambien tres food trucks conocidos como los lechona trucks  donde presenta la lechona tolimense en festivales gastronomicos de renombre mundial  con los sabores autenticos de colombia  ver esta publicacion en instagram una publicacion compartida por maritza escudero   maritza escudero21  lee tambien la dedicacion de ana maria y edwin ha llevado a la gastronomia colombiana  representada en la lechona  a escenarios internacionales  demostrando que los sabores de colombia trascienden fronteras y que la lechona es mas que un plato tradicional  es un simbolo de identidad y orgullo colombiano que ahora se disfruta en todo el mundo  por que una invasion de estados unidos a venezuela afectaria a colombia  el mandatario senalo que la politica antidrogas de estados unidos  especialmente durante el gobierno de donald trump  ha procovado tensiones internacionales y podria tener como consecuencia una posible invasion a la republica de venezuela ,Economic activity
vacantes de empleo en colombia una de las empresas mas importantes en el area de recursos humanos en el pais  que cuenta con mas de 34 000 empleados anuncio que abrio nuevas convocatorias de contratacion para aquellos interesados en encontrar un empleo  la multinacional francosuiza explico que las ofertas estan disponibles en mas de 51 ciudades y municipio del pais  entre ellos  para bogota existen mas de 590 oportunidades  ademas  las vacantes estan disponibles pare empleo en 18 sectores economicos como  industria manufacturera  comercio al por mayor y al por menor  actividades financieras y de seguros  actividades de servicios administrativos y de apoyo  construccion  actividades de atencion de la salud humana y de asistencia social  informacion y comunicaciones  actividades profesionales  cientificas y tecnicas  distribucion de agua  evacuacion y tratamiento de aguas residuales  gestion de desechos y actividades de saneamiento ambiental  transporte y almacenamiento  alojamiento y servicios de comida  suministro de electricidad  gas  vapor y aire acondicionado  actividades artisticas  de entretenimiento y recreacion  actividades inmobiliarias  educacion  agricultura  ganaderia  caza  silvicultura y pesca  explotacion de minas y canteras  administracion publica y defensa  planes de seguridad social de afiliacion obligatoria  como aplicar a las ofertas laborales de addeco  esta plataforma es totalmente virtual y busca gestionar de una forma mas sencilla el proceso de busqueda de empleo de los profesionales interesados en las vacantes alli disponibles  los aspirantes que deseen aplicar al proceso de seleccion debe ingresar a la pagina  registrarse como un usuario nuevo y cargar su hoja de vida en el portal de empleo de la compania  alli le mostrara la informacion sobre las vacantes disponible y el proceso de seleccion  entre las ofertas alli publicadas se encuentran  lea ademas  carcel para evasores de impuestos en colombia sera una realidad,Economic activity
ecuador grupos narcotraficantes que tienen violencia al alza   conflicto y narcotrafico   justicia las cifras de la violencia que se registran en ecuador estan relacionadas con el trafico de cocaina y los enfrentamientos en el interior de las carceles por la guerra territorial que se da entre dos redes delictivas  los choneros y los lobos  grupos que integran ecuatorianos  colombianos y venezolanos  de hecho  ecuador cerro el 2022 con la tasa de homicidios mas alta en su historia  25 32 muertes violentas por cada 100 000 habitantes y este 2023 se proyecta una tasa de 40  en un pais con 18 millones  y la provincia de esmeraldas  por donde se mueve la cocaina que se produce en colombia  reporto una tasa de homicidios de 63 por cada 100 000 habitantes  autoridades senalan que esmeraldas se convirtio en centro de acopio de la cocaina colombiana  producida en los departamentos fronterizos narino  56 516 hectareas sembradas de coca  y putumayo  28 205 hectareas   los cuales concentran el 42 por ciento de los cultivos con matas de coca en el pais  de acuerdo con el sistema integrado de monitoreo de cultivos ilicitos  simci  de naciones unidas en 2021  esto se traduce en la produccion de unas 450 toneladas metricas del alcaloide  del cual se estima unas 200 toneladas son las que se envian a traves de ecuador a carteles en centroamerica  especialmente en mexico  en esa linea  las disidencias  por ejemplo del frente oliver sinisterra  tuvieron el control de los laboratorios y la coca en la frontera hasta el 2021  con la llegada de la pandemia  los delincuentes ecuatorianos tuvieron contacto directo con emisarios de carteles mexicanos y frenaron la presencia de las redes colombianas para negociar el envio de la cocaina  disidencias de la  jaime martinez   estarian al frente del complejo  foto policia nacional 15 000 integrantes  que tiene nexos con el cartel de sinaloa  y que cuenta con unas 10 subestructuras otras redes criminales que se conocen como las aguilas  los gangsters y los r 7  por mencionar algunas  asi  se fueron consolidando a sangre y fuego pequenos grupos  que poco a poco se unificaron en los choneros  la mas grande  con unos  que tiene nexos con el cartel de sinaloa  y que cuenta con unas 10 subestructuras otras redes criminales que se conocen como sus enemigos son los lobos  quienes delinquen para el cartel jalisco nueva generacion y que suman en total unos 7 000 hombres en armas  a traves de estructuras como lagartos  netas y los choner killer  estos grupos han logrado desestabilizar la seguridad en nueve provincias del pais vecino  el oro  guayas  santa elena  manabi  los rios  esmeraldas  santo domingo de los tsachilas  pichincha y sucumbios  fronteriza con colombia   porque cuentan con nuevas armas de largo alcance que  al parecer  han recibido como parte del pago de la coca enviada a los carteles mexicanos  de hecho  estas redes se dedican  ademas  a ejecutar homicidios por encargo y ya se empiezan a reportar extorsiones a los comerciantes  esa lucha de fuerzas quedo registrada a mediados de abril de este ano  cuando unos 30 hombres llegaron en lanchas hasta las bodegas del puerto pesquero de esmeraldas y  en 80 segundos  dieron muerte a 9 hombres tras disparar en mas de 300 oportunidades  asi quedo evidenciado tras las labores de balistica de las autoridades  o la activacion de cuatro carros bomba en inmediaciones de cuarteles de la policia  especialmente en guayaquil  entre marzo y junio  pero aunque los delincuentes ecuatorianos buscan mantener el control de su territorio  tienen fuertes nexos con estructuras criminales colombianas  para concretar la compra de los llamados semisumergibles que se construyen en los manglares de la zona rural de tumaco para enviar la cocaina por el pacifico a mercados de europa  asia  medio oriente y africa  aqui se suma otro actor  y es un cartel que se conoce como comando vermelho  de brasil  que en ecuador busca la cocaina a mejor precio  aprovechando la falta de control de las autoridades ecuatorianas  por la falta de experiencia para combatir el narcotrafico  aseguro a el tiempo el coronel en retiro del ejercito ecuatoriano mario pazmino  justicia eltiempo com en twitter   justiciaet lea otras notas de justicia ,Security
bvc y ecopetrol abren dispares este 25 de octubre   indices bursatiles estan en rojo pese a baja volatilidad el mercado accionario colombiano amanecio este miercoles 25 de octubre con valores dispares al inicio de la cotizacion en la bolsa de valores de colombia  los diferentes indicadores bursatiles amanecieron en caida mientras que acciones como la de ecopetrol registran repuntes  respecto a los indices accionarios  el que mas cayo fue el coleqty  con una baja al inicio de la jornada de 0 06  y un valor de 768 53  es preciso recordar que este es el indicador mas amplio del mercado accionario colombiano  el otro que mas cae es el indice colir  que registra una baja de 0 06  y un valor de 723 27  este indicador captura las empresas que tienen iniciativas sociales y enfocadas a objetivos de este tipo  como amanecieron los indices bursatiles el 25 de octubre  msci colcap  colsc  entre otros    foto  captura de pantalla portal bolsa de valores de colombia el msci colcap es otro de los que tambien cae durante la jornada  se encuentra en una variacion negativa de 0 04  y un valor de 1 105 37  se debe tener en cuenta que este indice es el que deja ver el estado del mercado de renta variable  pues sigue a los 20 principales emisores y tambien contiene las 25 acciones mas liquidas del pais  el indice colsc es uno de los que menos cae durante la apertura de la jornada  con una baja de 0 03  y un valor de 786 71  este indicador agrupa acciones que toleran un mayor riesgo y que tienen un retorno elevado en el portafolio de inversiones  compara ademas las 15 empresas mas pequenas en capitalizacion bursatil  las empresas que mas se negocian en la bvc respecto a las companias que mas se negocian en la bolsa de valores de colombia  la accion preferencial de bancolombia  pfbcolom  es la que mayor volumen agrupa este miercoles  con 1 949 65 millones  a esta le sigue la accion icolcap  que registra un volumen de 1 121 21  de terceras aparece la accion de nutresa  nutresa   con un volumen de 985 89 millones  la accion de bancolombia  bcolombia  y de ecopetrol  ecopetrol  se encuentran en el cuarto y quinto lugar  el banco tiene un volumen actual de 848 16  la petrolera por su parte es la que cuenta con la cifra mas baja  con apenas 441 26 millones en transacciones  asi amanecieron las acciones de las empresas en la bvc durante este 22 de octubre    foto  captura de pantalla portal bolsa de valores de colombia las empresas que mas se valorizan en la bvc respecto al ranking de las mas valoradas en la apertura de la bvc  la accion de canacol energy  cnec  es la que mas se reevalua durante la manana  esta tiene una variacion positiva de 2 92  y un ultimo precio de 21 500 00  le sigue la accion de isa  que tiene un ultimo precio de 14 850 00 y una variacion de 1 02   luego esta la de ecopetrol  que sube un 0 95  y se ubica en un precio de 2 544 00  finalmente se encuentra la accion de bancolombia  que repunta apenas un 0 3  y tiene un precio de 29 620 00  tambien esta la accion de icolcap  que no presenta cambios y tiene un valor de 11 200 00  las empresas que mas pierden valor en la bvc la accion de la bvc es la que mas pierde valor durante este 25 de octubre  con una baja de 3 52  y un ultimo precio de 8 255 00  a esta le sigue la empresa nutresa  que tambien cae cerca de un 1 31  y se ubica en un valor de 49 000 00  la accion preferencial de bancolombia  pfbcolom  es la tercera que mas cae  con una variacion de 0 68  y un ultimo precio 26 420 00  a esta le sigue la accion preferencial de cementos argos  pfcemargos   que cayo un 0 56   finalmente esta la accion de grupo argos  grupoargos   que baja hoy un 0 38  y tiene un ultimo precio de 9 195 00  vacante laboral de analista de abastecimiento   foto  getty images precios del petroleo para hoy 25 de octubre respecto a los valores del crudo para la jornada  las dos referencias mas importantes abrieron con comportamientos dispares  la referencia wti bajo un 0 01  y se ubica en 83 73 dolares ,Financial variables
la edad no es una barrera   las lecciones de jorge baron y ramiro osorio durante el foro  envejecimiento digno y activo   la edad no es un obstaculo para alcanzar los objetivos  durante la conversacion mi energia esta intacta  el reconocido presentador  jorge baron  y el director general del teatro mayor julio mario santo domingo  ramiro osorio  contaron como logran mantenerse vigentes en la memoria de los colombianos  osorio senalo que quienes trabajan todos los dias en las areas artisticas estan llamados a innovar y crear  desde su experiencia en la direccion del teatro indico la necesidad de estar atentos y con una capacidad y disposicion creativa total  yo vengo del mundo del teatro y estamos acostumbrados a movernos mucho  en la medida en que han pasado los anos he aprendido a darle al tiempo un valor fundamental  aseguro osorio  por su parte  para el empresario y reconocido presentador  jorge baron  el entusiasmo y contar con metas claras es vital  me fijo metas poco a poco y asi es como he logrado transitar e innovar en los medios de comunicacion  indico  al respecto  osorio comento que en esta etapa se replantean las visiones de asuntos como el exito  que segun el tiene tantas facetas y caminos como la vida  en mi caso  el motivo del exito que me conmueve es ver crecer a mis nietos  aseguro  ramiro osorio  director general del teatro mayor julio mario santo domingo    foto  esteban vega la rotta el amor  agrego  es otra de sus motivaciones para alcanzar el exito  resaltando que tuvo la fortuna de estar casado con una pianista con la que trabaja todos los dias en cultivar la felicidad  mantenerse vigente durante el envejecimiento mas alla de ser un reto  ha sido una oportunidad de ser feliz para jorge baron  yo me siento muy orgulloso cuando hago mis fiestas del 24 y 31 de diciembre a las que va tanta gente a disfrutar de mi programa  son colombianos a los que llamo mi familia de corazon  jorge baron  presentador    foto  esteban vega la rotta para el presentador  esa escena es uno de sus mayores motivos de felicidad  pues se ha acercado a las poblaciones mas vulnerables del pais con entretenimiento  ir a esa colombia profunda y llevar a los campesinos afectados por la violencia musica y alegria me da mucha felicidad  explico baron  una vida en la cultura para osorio  apreciar las lecciones que deja el fracaso de camino a las metas es lo mas valioso  todos fracasamos en la vida y esos fracasos le dan a uno fortaleza  asevero  destacando que ve con orgullo todo lo que ha construido en la escena cultural del pais  el paso que tuvimos en las instituciones publicas sirvio para fortalecer la cultura y crear programas de estado como las salas concertadas  las salas de teatro  los fondos mixtos y muchos mas proyectos  agrego el director del teatro mayor julio mario santo domingo ,Education
